CNTY	DIFF	STATUS	HECTARE	TOF	OWNLAND	AGE	HARVEST	R1	R2	R3	R4	R5	R6	R7	R8	R11	R12	R14	R17	R18	R19	R21	R22	R24	R28	R30	R32	R36	R37
27	1	1	78	3	1	35	88	0,24	0,771	0,08516	0,02374	0,226	0,638	0,599	0,04883	0,892	1,4752	0,07379	0,0901	0,0575	0,122	0,127	0,2694	0,171	0,455	0,3321	0,397	1,399	0,377
27	1	1	94	1	1	35	88	0,742	0,306	0,2112	0,1568	0,586	1,42	1,12	0,2999	0,4737	0,9323	0,3877	0,0908	0,129	0,241	0,262	0,4893	0,257	0,475	0,2512	0,3629	1,139	0,523
27	1	0	97	4	0	48	88	0,676	0,386	0,2378	0,1607	0,515	0,821	0,626	0,1952	0,3574	0,5119	0,3533	0,0403	0,0331	0,0974	0,11	0,3226	0,249	0,302	0,2045	0,2687	0,662	0,823
27	1	0	91	3	0	52	88	0,465	0,593	0,2126	0,09892	0,366	0,618	0,486	0,1314	0,3559	0,5777	0,2696	0,0686	0,0424	0,147	0,11	0,3841	0,289	0,384	0,2364	0,3415	0,841	0,753
27	1	1	101	1	1	45	88	0,165	0,95	0,7902	0,1369	0,0447	0,196	0,0695	0,1631	0,7855	1,3636	0,172	0,0308	0,00606	0,0483	0,0183	0,114	0,356	0,424	0,3756	0,4179	0,351	0,839
27	1	1	65	3	1	37	88	0,477	0,628	0,3503	0,1672	0,31	0,901	0,585	0,3156	0,4146	0,5846	0,4322	0,055	0,0495	0,0953	0,17	0,3277	0,154	0,291	0,1955	0,2413	1,157	0,53
27	1	1	101	1	1	42	88	0,245	0,824	0,3415	0,08368	0,161	0,39	0,257	0,1331	0,892	1,4752	0,1017	0,0393	0,0153	0,0958	0,046	0,2874	0,21	0,333	0,2376	0,318	0,351	0,629
27	1	0	61	3	1	31	88	0,26	0,829	0,4127	0,1071	0,152	0,36	0,211	0,1484	0,1444	0,2387	0,5068	0,0524	0,0188	0,0753	0,0477	0,1908	0,285	0,395	0,3196	0,3761	1,092	0,722
27	1	1	102	3	1	49	88	0,41	0,647	0,2141	0,08767	0,322	0,788	0,62	0,1687	0,8306	1,4752	0,1689	0,0521	0,0411	0,114	0,0926	0,2567	0,231	0,444	0,33	0,4029	0,925	0,52
27	1	1	110	1	0	45	88	0,504	0,654	0,4791	0,2414	0,263	0,69	0,359	0,3305	0,3185	0,5106	0,5093	0,0906	0,0625	0,192	0,166	0,5112	0,275	0,376	0,1839	0,3137	0,72	0,73
27	1	1	62	3	1	44	88	0,468	0,682	0,4706	0,2204	0,248	0,951	0,504	0,4476	0,7343	1,0714	0,3787	0,0294	0,028	0,0606	0,0889	0,1926	0,155	0,315	0,2541	0,2867	0,848	0,493
27	1	1	117	1	1	45	88	0,402	0,676	0,2868	0,1154	0,287	0,899	0,641	0,2577	0,6589	1,3	0,2812	0,043	0,0387	0,0954	0,0784	0,1934	0,221	0,475	0,3759	0,4313	1,316	0,448
27	1	1	91	3	1	40	88	0,318	0,697	0,08516	0,02374	0,296	0,851	0,794	0,05773	0,7906	1,4752	0,07379	0,0805	0,0685	0,203	0,136	0,4035	0,187	0,475	0,2994	0,4313	1,83	0,373
27	1	1	119	1	1	32	88	0,504	0,583	0,2947	0,1485	0,355	0,612	0,432	0,1803	0,4847	0,8007	0,2711	0,0812	0,0497	0,183	0,126	0,464	0,325	0,395	0,2115	0,3449	0,549	0,824
27	1	1	133	4	1	49	88	0,443	0,724	0,5214	0,231	0,212	0,55	0,263	0,287	0,4277	0,6594	0,4015	0,0879	0,0484	0,127	0,138	0,3613	0,283	0,351	0,2245	0,3031	0,528	0,805
27	1	1	116	3	1	42	88	0,421	0,594	0,08516	0,02503	0,396	1,145	1,077	0,06801	0,3688	0,6593	0,1557	0,067	0,0766	0,195	0,174	0,4435	0,162	0,441	0,2452	0,364	2,147	0,368
27	1	1	90	3	1	49	88	0,145	0,903	0,364	0,05278	0,0922	0,266	0,169	0,09674	0,5143	0,7448	0,1583	0,0651	0,0173	0,0703	0,0559	0,227	0,169	0,31	0,2393	0,2923	1,222	0,546
27	1	0	92	3	0	35	88	0,543	0,473	0,08516	0,03325	0,51	0,973	0,913	0,05957	0,1248	0,1778	0,3231	0,0248	0,0241	0,0709	0,081	0,2381	0,166	0,298	0,227	0,2738	1,607	0,558
27	1	1	92	3	1	51	88	0,224	0,833	0,3064	0,06863	0,155	0,761	0,528	0,2332	0,353	0,5609	0,3978	0,085	0,0647	0,183	0,175	0,4935	0,109	0,371	0,1877	0,3059	2,147	0,359
27	1	1	144	1	1	32	88	0,455	0,588	0,1608	0,07313	0,382	1,06	0,89	0,1704	0,7739	1,2936	0,1805	0,0755	0,08	0,171	0,199	0,4264	0,172	0,402	0,2304	0,3217	1,386	0,429
27	1	1	159	1	1	49	88	0,373	0,678	0,2024	0,07556	0,298	0,662	0,528	0,1339	0,6308	0,9584	0,1751	0,0202	0,00606	0,0479	0,0183	0,14	0,193	0,342	0,294	0,3385	1,007	0,564
27	1	1	131	1	1	58	88	0,501	0,643	0,4481	0,2247	0,277	0,905	0,5	0,4056	0,544	0,8929	0,4271	0,0577	0,0522	0,168	0,134	0,4298	0,216	0,391	0,2228	0,3386	0,856	0,554
27	1	1	0	4	0	49	88	0,574	0,449	0,08997	0,05166	0,523	0,573	0,522	0,05158	0,2572	0,3289	0,1671	0,0823	0,0472	0,105	0,216	0,4797	0,218	0,218	0,1135	0,171	0,69	1,001
27	1	0	106	3	1	43	88	0,175	0,864	0,2582	0,04513	0,13	0,416	0,308	0,1073	0,7538	1,4752	0,1246	0,041	0,017	0,0656	0,0341	0,1314	0,21	0,475	0,3759	0,4313	1,517	0,42
27	1	1	122	3	1	43	88	0,355	0,722	0,2986	0,106	0,249	0,532	0,373	0,1587	0,4366	0,7487	0,2666	0,0857	0,0456	0,103	0,109	0,2459	0,278	0,417	0,3144	0,3713	0,902	0,668
27	1	1	60	3	1	45	88	0,264	0,761	0,1216	0,03207	0,232	0,604	0,531	0,07346	0,3103	0,5111	0,1914	0,0546	0,033	0,0975	0,084	0,2481	0,171	0,393	0,2954	0,3598	1,907	0,437
27	1	1	88	3	1	52	88	0,134	0,926	0,4854	0,06513	0,0691	0,26	0,134	0,1264	0,2505	0,4291	0,3353	0,0586	0,0153	0,0773	0,0367	0,1859	0,214	0,416	0,3388	0,4009	1,563	0,515
27	1	0	100	3	1	48	88	0,411	0,619	0,1156	0,04746	0,363	0,744	0,658	0,08603	0,6654	1,2397	0,1145	0,0316	0,0235	0,0493	0,0508	0,1064	0,256	0,463	0,3759	0,4313	1,061	0,552
27	1	1	181	3	1	37	88	0,382	0,699	0,3027	0,1156	0,266	0,727	0,507	0,22	0,7169	1,0935	0,2348	0,072	0,0523	0,115	0,152	0,3325	0,181	0,344	0,2299	0,2922	0,966	0,526
27	1	1	84	3	1	49	88	0,121	0,925	0,2437	0,02374	0,0733	0,218	0,165	0,05316	0,8051	1,0182	0,07379	0,0812	0,0177	0,0301	0,0847	0,127	0,0929	0,209	0,1827	0,1916	1,394	0,444
27	1	1	138	3	1	45	88	0,275	0,783	0,2704	0,07439	0,201	0,57	0,416	0,1542	0,659	0,97	0,1897	0,0402	0,0229	0,0784	0,0716	0,2445	0,155	0,321	0,2422	0,2976	1,26	0,482
27	1	0	123	4	1	48	88	0,543	0,48	0,08693	0,04716	0,495	0,84	0,767	0,073	0,545	0,8757	0,1181	0,0739	0,062	0,15	0,164	0,3968	0,244	0,378	0,2278	0,3156	0,93	0,646
27	1	0	76	3	0	47	88	0,282	0,741	0,1114	0,03141	0,251	0,461	0,409	0,05131	0,5047	0,77	0,09228	0,0773	0,0356	0,0796	0,103	0,231	0,211	0,345	0,2649	0,3089	1,077	0,612
27	1	1	79	3	1	40	88	0,31	0,739	0,2128	0,06587	0,244	0,654	0,514	0,1391	0,4407	0,6466	0,2398	0,0733	0,0479	0,128	0,15	0,4033	0,151	0,318	0,19	0,2705	1,531	0,474
27	1	1	102	1	1	35	88	0,626	0,39	0,08516	0,04237	0,584	1,711	1,241	0,1209	0,5358	1,0619	0,1842	0,0938	0,146	0,229	0,339	0,4619	0,174	0,475	0,2666	0,3277	2,147	0,359
27	2	1	90	3	0	41	88	0,634	0,471	0,3504	0,2221	0,412	0,921	0,598	0,3227	0,2883	0,4154	0,5282	0,0817	0,0753	0,228	0,246	0,7458	0,211	0,306	0,07781	0,2309	0,842	0,688
27	2	1	89	1	1	43	88	0,435	0,724	0,5034	0,2188	0,216	1,327	0,659	0,668	-0,0956	-0,159	1,167	0,114	0,146	0,325	0,49	0,829	0,131	0,401	0,06848	0,2041	2,147	0,359
27	2	1	31	1	0	30	88	0,591	0,442	0,1256	0,07418	0,516	0,843	0,737	0,1059	0,4576	0,6879	0,188	0,0553	0,0466	0,119	0,139	0,3544	0,234	0,335	0,2161	0,2881	0,864	0,7
27	2	1	77	3	1	40	88	0,91	0,155	0,4652	0,4236	0,487	1,711	1,06	0,8797	-0,335	-0,438	1,9929	0,0552	0,109	0,265	0,59	1,4274	0,0852	0,185	-0,0792	0,07607	1,735	0,459
27	2	1	76	1	1	39	88	0,799	0,355	0,5419	0,433	0,366	1,498	0,686	0,8116	-0,215	-0,294	1,3603	0,079	0,118	0,307	0,441	1,1441	0,143	0,268	-0,0387	0,1498	1,278	0,534
27	2	1	24	4	1	37	88	0,597	0,411	0,08516	0,02374	0,576	1,711	1,241	0,0651	0,5339	1,0904	0,1087	0,073	0,138	0,211	0,27	0,4133	0,161	0,475	0,2995	0,3724	2,147	0,359
27	2	1	53	3	0	27	88	0,595	0,534	0,4055	0,2413	0,354	1,295	0,77	0,5249	0,3611	0,4677	0,5925	0,0587	0,076	0,157	0,333	0,6875	0,105	0,228	0,07126	0,152	1,29	0,46
27	2	1	77	3	1	31	88	0,84	0,204	0,2572	0,216	0,624	1,1	0,817	0,2828	-0,00407	-0,00571	1,0146	0,0786	0,0865	0,178	0,3	0,6184	0,22	0,288	0,1099	0,2014	1,031	0,764
27	2	1	118	3	1	47	88	0,687	0,392	0,2942	0,202	0,485	1,354	0,955	0,3982	0,1573	0,2207	0,7169	0,0766	0,104	0,259	0,361	0,9019	0,146	0,287	0,02818	0,1836	1,415	0,507
27	2	1	73	3	1	43	88	0,421	0,617	0,1481	0,06236	0,359	1,079	0,92	0,1599	0,4626	0,7247	0,2568	0,0662	0,0714	0,184	0,197	0,5078	0,141	0,362	0,178	0,2903	1,941	0,39
27	2	1	111	3	1	40	88	0,527	0,535	0,2189	0,1154	0,412	1,126	0,879	0,2464	0,4783	0,6972	0,34	0,0747	0,0841	0,173	0,268	0,5508	0,147	0,314	0,1411	0,23	1,411	0,468
27	2	1	120	1	1	59	88	0,525	0,58	0,3434	0,1802	0,345	1,468	0,964	0,5042	0,2492	0,5138	0,6693	0,0817	0,12	0,3	0,233	0,5825	0,184	0,475	0,215	0,395	2,045	0,359
27	2	1	57	3	0	44	88	0,578	0,521	0,3295	0,1905	0,388	0,989	0,663	0,3258	0,3015	0,4296	0,5194	0,0672	0,0665	0,194	0,223	0,6522	0,174	0,298	0,1037	0,2318	1,083	0,585
27	2	1	80	2	1	31	88	0,558	0,514	0,2521	0,1407	0,418	1,711	1,241	0,4975	0,892	1,2617	0,3193	0,0524	0,103	0,23	0,646	1,4433	0,0832	0,159	-0,0706	0,05583	1,977	0,359
27	2	1	50	3	0	37	88	0,78	0,428	0,6223	0,4853	0,295	1,174	0,443	0,7303	-0,335	-0,438	1,9929	0,0874	0,103	0,185	0,353	0,6359	0,193	0,29	0,1057	0,1877	1,205	0,665
27	2	1	68	3	1	45	88	0,502	0,529	0,1172	0,05882	0,443	0,932	0,823	0,1092	0,3885	0,7218	0,2195	0,0616	0,0574	0,146	0,124	0,3171	0,249	0,462	0,3153	0,4043	1,359	0,539
27	2	1	54	3	1	62	88	0,449	0,615	0,2302	0,1034	0,346	1,336	1,029	0,3077	0,4902	0,6351	0,3856	0,107	0,143	0,325	0,629	1,5371	0,0832	0,228	-0,0872	0,08475	2,147	0,359
27	2	1	123	3	1	52	88	0,381	0,885	0,7893	0,3009	0,0804	0,573	0,121	0,452	0,2044	0,3106	0,6886	0,114	0,0837	0,172	0,245	0,5027	0,228	0,342	0,17	0,258	0,845	0,666
27	2	1	94	1	0	33	88	1,076	0	0,5133	0,665	0,649	0,869	0,423	0,446	-0,189	-0,266	1,7368	0,0778	0,0676	0,166	0,233	0,5733	0,365	0,29	0,1236	0,222	0,351	1,102
27	2	1	73	3	1	61	88	0,648	0,572	0,594	0,3852	0,263	0,98	0,398	0,582	0,1196	0,1883	0,8296	0,081	0,0794	0,2	0,217	0,5478	0,242	0,365	0,1651	0,2857	0,81	0,662
27	2	1	17	4	1	53	88	0,992	0,0213	0,6125	0,6074	0,384	1,278	0,495	0,7831	-0,0908	-0,112	1,1311	0,065	0,0831	0,132	0,432	0,688	0,149	0,192	0,06	0,1092	0,597	0,776
27	2	1	50	4	0	34	88	0,833	0,181	0,09045	0,0753	0,649	1,588	1,241	0,1436	0,5624	1,0716	0,2034	0,0448	0,0711	0,157	0,15	0,3305	0,249	0,475	0,3181	0,404	1,201	0,524
27	2	1	106	4	1	40	88	0,782	0,302	0,3558	0,2784	0,504	1,175	0,757	0,4181	-0,104	-0,156	1,329	0,114	0,146	0,256	0,449	0,7585	0,225	0,337	0,0815	0,1858	1,187	0,666
27	2	0	68	2	0	43	88	0,484	0,658	0,4473	0,2167	0,268	1,241	0,686	0,5549	-0,0631	-0,0957	1,1283	0,0405	0,0502	0,134	0,147	0,3938	0,133	0,341	0,2068	0,2909	2,069	0,391
27	2	0	98	3	0	42	88	0,41	0,882	0,7902	0,3316	0,0786	0,654	0,125	0,5283	-0,115	-0,181	1,2788	0,0629	0,0411	0,0731	0,113	0,201	0,228	0,364	0,2907	0,3227	1,18	0,628
27	2	0	112	1	0	42	88	0,718	0,897	0,7902	0,665	0,0447	0,448	0,0695	0,4277	0,1032	0,1827	0,8056	0,0831	0,0372	0,17	0,0856	0,3912	0,365	0,435	0,2649	0,3979	0,351	1,102
27	2	0	95	3	1	44	88	0,661	0,483	0,4514	0,2984	0,363	1,493	0,819	0,6738	0,3766	0,5034	0,6415	0,0532	0,0794	0,202	0,315	0,8034	0,112	0,252	0,04953	0,1725	1,208	0,443
27	2	0	125	3	0	38	88	0,811	0,399	0,6489	0,526	0,285	1,121	0,393	0,7271	-0,179	-0,25	1,3277	0,0684	0,0766	0,193	0,271	0,6799	0,205	0,283	0,09065	0,2065	0,835	0,723
27	2	0	199	1	1	47	88	0,763	0,327	0,3611	0,2756	0,488	0,55	0,352	0,1987	0,2065	0,299	0,4903	0,114	0,0667	0,141	0,216	0,4567	0,365	0,309	0,168	0,2425	0,351	1,102
27	2	0	67	3	0	50	88	0,433	0,666	0,3435	0,1486	0,284	0,718	0,471	0,2465	0,1908	0,2608	0,5636	0,0973	0,0698	0,172	0,26	0,6423	0,162	0,268	0,09597	0,1985	1,221	0,603
27	2	1	102	3	1	30	88	0,767	0,358	0,4539	0,348	0,419	1,711	1,089	0,8797	0,892	1,4752	0,4861	0,0439	0,0876	0,212	0,237	0,5753	0,142	0,369	0,1566	0,2811	0,739	0,385
27	2	1	70	4	1	43	88	0,66	0,528	0,5397	0,3563	0,304	1,143	0,526	0,6166	0,116	0,1724	0,8416	0,0783	0,0895	0,189	0,274	0,5777	0,189	0,327	0,1381	0,2376	0,998	0,578
27	2	1	86	1	1	37	88	1,076	0	0,3779	0,4667	0,649	1,711	1,241	0,7601	-0,0404	-0,0669	1,0561	0,0573	0,115	0,25	0,291	0,6308	0,244	0,397	0,1465	0,2814	0,909	0,614
27	2	1	82	1	1	36	88	0,8	0,238	0,1981	0,1585	0,642	1,635	1,241	0,3238	0,1218	0,1595	0,7267	0,0964	0,146	0,318	0,646	1,3455	0,116	0,236	-0,0817	0,0788	1,597	0,489
27	2	1	93	1	1	36	88	0,836	0,185	0,1333	0,1114	0,649	1,083	0,939	0,1443	0,2467	0,4653	0,3691	0,0955	0,103	0,225	0,22	0,4793	0,363	0,47	0,2446	0,3664	0,905	0,772
27	2	1	109	3	0	40	88	0,704	0,376	0,3026	0,2132	0,491	1,254	0,875	0,3796	0,1155	0,1717	0,7667	0,114	0,146	0,322	0,516	0,9852	0,184	0,327	0,00485	0,1583	1,285	0,562
27	2	1	53	3	1	38	88	1,076	0	0,5138	0,665	0,649	1,315	0,639	0,6755	-0,335	-0,438	1,9929	0,0995	0,131	0,3	0,325	0,747	0,365	0,402	0,1017	0,2712	0,593	1,073
27	2	1	99	1	0	45	88	1,076	0	0,4613	0,5588	0,649	0,89	0,479	0,4105	-0,0988	-0,149	1,3168	0,0925	0,0823	0,191	0,243	0,5654	0,365	0,338	0,1471	0,2562	0,423	1,102
27	2	1	72	3	1	31	88	0,933	0,0901	0,2761	0,2576	0,649	1,308	0,947	0,3611	0,2655	0,3074	0,5763	0,0934	0,122	0,211	0,646	1,5371	0,0972	0,159	-0,0743	0,05513	0,775	0,713
27	2	1	70	3	1	56	88	0,464	0,594	0,2103	0,09768	0,367	1,043	0,824	0,2194	0,2986	0,4403	0,4236	0,11	0,115	0,212	0,358	0,6592	0,143	0,322	0,1097	0,2068	1,728	0,445
27	2	1	115	3	0	53	88	0,538	0,678	0,5927	0,3188	0,219	1,007	0,41	0,597	-0,176	-0,249	1,4179	0,0936	0,0943	0,15	0,321	0,5107	0,157	0,294	0,1436	0,1993	1,452	0,534
27	2	1	72	3	1	36	88	0,645	0,393	0,1495	0,09646	0,549	1,677	1,241	0,2507	0,1811	0,2305	0,5807	0,0557	0,0933	0,203	0,435	0,9481	0,0832	0,214	0,01114	0,1212	2,147	0,385
27	2	1	86	1	1	32	88	0,464	0,549	0,08516	0,02374	0,441	0,894	0,848	0,04883	0,4479	0,7424	0,09259	0,0634	0,0567	0,219	0,143	0,553	0,206	0,397	0,1773	0,34	1,431	0,519
27	2	1	53	3	1	35	88	0,52	0,509	0,1086	0,05644	0,463	1,452	1,241	0,1577	0,4941	0,6385	0,242	0,0646	0,0938	0,214	0,414	0,9474	0,0832	0,226	0,0119	0,1324	2,143	0,359
27	2	1	61	1	1	37	88	0,771	0,275	0,2189	0,1688	0,603	1,711	1,241	0,5603	0,1035	0,1017	0,8442	0,0859	0,146	0,325	0,646	1,5371	0,0832	0,159	-0,0872	0,05513	2,147	0,359
27	2	1	55	3	1	50	88	0,606	0,465	0,2534	0,1537	0,453	1,687	1,241	0,4276	0,3445	0,4305	0,5538	0,044	0,0742	0,217	0,372	1,0885	0,0832	0,2	-0,0177	0,1254	2,011	0,359
27	2	1	64	3	1	30	88	0,666	0,387	0,2066	0,1376	0,528	1,449	1,15	0,2994	0,2079	0,3011	0,5903	0,0722	0,105	0,218	0,338	0,7042	0,142	0,31	0,09157	0,2049	1,669	0,46
27	2	1	60	3	1	42	88	0,288	0,728	0,08516	0,02374	0,266	0,584	0,54	0,04883	0,4874	0,717	0,0823	0,0936	0,0546	0,141	0,171	0,4403	0,158	0,32	0,1792	0,2656	1,495	0,494
27	2	1	87	3	1	34	88	0,523	0,498	0,08516	0,04307	0,48	1,095	1,005	0,09014	0,6191	0,8387	0,1271	0,0528	0,0578	0,144	0,221	0,5487	0,125	0,262	0,1182	0,2041	1,384	0,478
27	2	1	130	3	1	38	88	0,795	0,306	0,4153	0,3302	0,465	1,224	0,716	0,5082	-0,192	-0,323	1,6066	0,0996	0,122	0,269	0,301	0,6631	0,263	0,405	0,1366	0,2835	1,223	0,65
27	2	1	66	3	0	44	88	0,945	0,0864	0,3834	0,3623	0,583	0,979	0,604	0,3754	0,0346	0,05333	0,9156	0,0671	0,0657	0,163	0,187	0,4631	0,339	0,351	0,1886	0,2855	0,626	0,965
27	2	0	245	1	0	49	88	1,076	0	0,4946	0,5858	0,599	1,711	1,073	0,8797	-0,335	-0,438	1,6223	0,0506	0,108	0,317	0,276	0,8134	0,217	0,389	0,07265	0,2818	1,145	0,558
27	2	1	112	1	1	46	88	0,817	0,234	0,2652	0,2166	0,6	1,711	1,241	0,5054	-0,124	-0,165	1,3251	0,103	0,146	0,299	0,646	1,2	0,107	0,249	-0,0499	0,05513	1,951	0,429
27	2	1	64	3	0	54	88	0,503	0,704	0,583	0,2931	0,21	0,964	0,402	0,5622	0,2061	0,2807	0,7317	0,102	0,0988	0,14	0,372	0,5256	0,139	0,266	0,1261	0,167	1,15	0,521
27	2	1	69	3	1	50	88	0,835	0,202	0,2226	0,1859	0,649	1,711	1,241	0,3809	0,2026	0,2609	0,6527	0,0625	0,107	0,203	0,479	0,9076	0,109	0,223	0,02064	0,1163	1,465	0,488
27	2	1	108	3	1	48	88	0,69	0,431	0,4066	0,2805	0,409	1,533	0,91	0,6234	0,1661	0,2205	0,7896	0,114	0,146	0,325	0,646	1,3175	0,111	0,247	-0,0784	0,05513	1,433	0,45
27	2	1	101	3	0	36	88	0,498	0,7	0,5673	0,2824	0,215	0,779	0,337	0,4422	-0,0126	-0,0158	1,0292	0,0909	0,0709	0,203	0,35	1	0,129	0,203	0	0,1318	1,136	0,639
27	1	1	166	1	1	35	89	0,269	0,755	0,1165	0,0313	0,237	0,42	0,371	0,04896	0,6749	1,0896	0,07379	0,114	0,0568	0,313	0,149	0,8216	0,243	0,381	0,06789	0,3238	0,84	0,639
27	1	1	101	1	0	35	89	0,469	0,596	0,2331	0,1093	0,36	0,55	0,422	0,1283	0,6942	1,0663	0,156	0,0566	0,0312	0,199	0,0894	0,5705	0,297	0,349	0,1499	0,3178	0,351	0,852
27	1	1	138	3	1	42	89	0,526	0,554	0,2751	0,1448	0,381	1,365	0,989	0,3755	0,2941	0,4424	0,5608	0,033	0,045	0,122	0,134	0,3629	0,129	0,335	0,2136	0,2902	1,924	0,386
27	1	1	166	1	1	50	89	0,46	0,608	0,2435	0,112	0,348	1,168	0,884	0,2844	0,4766	0,7198	0,3737	0,0748	0,0873	0,217	0,259	0,6433	0,133	0,338	0,1205	0,2505	1,778	0,394
